KCLANPO23N000001051,장소,관광지,7287419,방림원,,,60511,식물원,5.01103E+18,제주특별자치도,제주시,한경면,저지리,2120-61,5011031030,5011031000,5.01103E+11,용금로,864,126.2689582,33.33733824,나나854835,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000001052,장소,관광지,7287421,여미지식물원,,,60514,유명관광지,5.01301E+18,제주특별자치도,서귀포시,색달동,,213304,5013011900,5013062000,5.01303E+11,중문관광로,93,126.414292,33.252661,나나988740,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000001091,장소,관광지,7739060,제주국제영어마을,,,60522,영어마을,5.01103E+18,제주특별자치도,제주시,조천읍,북촌리,1199,5011025927,5011025900,5.01105E+11,북촌북길,1월 17일,126.6905783,33.54824342,다다248065,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000001148,장소,관광지,8268048,한라수목원,,,60503,휴양림/수목원,5.01101E+18,제주특별자치도,제주시,연동,,1012,5011013700,5011065000,5.01105E+11,수목원길,72,126.4928522,33.46934973,다나064979,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000001175,장소,관광지,8268103,절물자연휴양림,,,60503,휴양림/수목원,5.01101E+18,제주특별자치도,제주시,봉개동,,산78-1,5011011600,5011062000,5.01103E+11,명림로,584,126.6281103,33.43698783,다나189942,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000001200,장소,관광지,8268147,상록수수목원,,,60503,휴양림/수목원,5.01301E+18,제주특별자치도,서귀포시,대포동,,1250-2,5013011400,5013061000,5.01305E+11,대포동서로70번길,58-18,126.4430434,33.24412516,다나015730,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000001201,장소,관광지,8268148,서귀포자연휴양림,,,60503,휴양림/수목원,5.01301E+18,제주특별자치도,서귀포시,하원동,,산1-1,5013011800,5013061000,5.01303E+11,영실로,226,126.4649011,33.31183254,다나036805,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000001253,장소,관광지,8268235,망오름산책로,,,60513,일반관광지,5.01303E+18,제주특별자치도,서귀포시,표선면,토산리,산13,5013032026,5013032000,,,,126.7689613,33.3217624,다나319813,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000001521,장소,관광지,8268604,선녀폭포,,,60504,폭포/계곡,5.01101E+18,제주특별자치도,제주시,해안동,,산220-1,5011013900,5011066000,,,,126.4956587,33.40257868,다나066905,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000001532,장소,관광지,8268618,소정방폭포,,,60504,폭포/계곡,5.01301E+18,제주특별자치도,서귀포시,동홍동,,,5013010500,5013051000,,,,126.5775276,33.24499534,다나140730,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000001543,장소,관광지,8268633,수악계곡,,,60504,폭포/계곡,5.01303E+18,제주특별자치도,서귀포시,남원읍,신례리,산2-5,5013025329,5013025300,,,,126.6111064,33.33622971,다나172831,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000001569,장소,관광지,8268664,안덕계곡,,,60504,폭포/계곡,5.01303E+18,제주특별자치도,서귀포시,안덕면,감산리,411,5013031023,5013031000,,,,126.3526003,33.25689043,나나931745,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000001577,장소,관광지,8268674,어위폭포,,,60504,폭포/계곡,5.01303E+18,제주특별자치도,서귀포시,표선면,토산리,2058,5013032026,5013032000,,,,126.7611639,33.3202614,다나312812,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000001581,장소,관광지,8268678,엉또폭포,,,60504,폭포/계곡,5.01301E+18,제주특별자치도,서귀포시,강정동,,1587,5013011600,5013060000,,,,126.5000129,33.26898696,다나068757,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000001671,장소,관광지,8268783,정방폭포,,,60504,폭포/계곡,5.01301E+18,제주특별자치도,서귀포시,동홍동,,278,5013010500,5013051000,5.01305E+11,칠십리로214번길,35,126.5730492,33.24474972,다나136729,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
